ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
88,"SNARE complex (Scfd1, Sec22b, Stx5, Bet1, Gosr2, Gosr1)",Rat,O35165;Q08851;Q4KM74;Q62896;Q62931;Q62991,64154;65134;310710;29631;94189;54350,Golgi SNAP receptor complex member 2 ;Syntaxin-5;Vesicle-trafficking protein SEC22b ;BET1 homolog ;Golgi SNAP receptor complex member 1 ;Sec1 family domain-containing protein 1,Gosr2;Stx5;Sec22b;Bet1;Gosr1;Scfd1,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.,Gs27;Stx5a;Sec22l1;;Gs28;Ra410 Sly1 Stxbp1l2
91,"FA complex (Fanconi anemia complex), cytoplasmic",Human,O15287;O15360;Q00597;Q9NPI8,2189;2175;2176;2188,Fanconi anemia group G protein ;Fanconi anemia group A protein ;Fanconi anemia group C protein ;Fanconi anemia group F protein,FANCG;FANCA;FANCC;FANCF,None,XRCC9;FAA FACA FANCH;FAC FACC;
92,CD28-transactivation complex,Human,P10747;P19338,940;4691,T-cell-specific surface glycoprotein CD28 ;Nucleolin,CD28;NCL,None,;
95,Ku antigen-NARG1 complex,Human,P12956;P13010;Q9BXJ9,2547;7520;80155,"X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;N-alpha-acetyltransferase 15, NatA auxiliary subunit",XRCC6;XRCC5;NAA15,This complex regulates osteocalcin gene expression.,G22P1;G22P2;GA19 NARG1 NATH TBDN100
96,Anaphase-promoting complex,Human,P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13,996;8881;64682;8697;51434;51433;29945;29882;10393,Cell division cycle protein 27 homolog ;Cell division cycle protein 16 homolog ;Anaphase-promoting complex subunit 1 ;Cell division cycle protein 23 homolog ;Anaphase-promoting complex subunit 7 ;Anaphase-promoting complex subunit 5 ;Anaphase-promoting complex subunit 4 ;Anaphase-promoting complex subunit 2 ;Anaphase-promoting complex subunit 10,CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2;ANAPC10,The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.,ANAPC3 D0S1430E D17S978E;ANAPC6;TSG24;ANAPC8;APC7;APC5;APC4;APC2 KIAA1406;APC10
97,Anaphase-promoting complex,Mouse,P53995;Q3V036;Q8BGZ4;Q8BTZ4;Q8BZQ7;Q8K2H6;Q8R349;Q91W96;Q9WVM3,17222;381580;52563;59008;99152;68999;69957;52206;56317,Anaphase-promoting complex subunit 1 ;Coiled-coil domain-containing protein 27;Cell division cycle protein 23 homolog ;Anaphase-promoting complex subunit 5 ;Anaphase-promoting complex subunit 2 ;Anaphase-promoting complex subunit 10 ;Cell division cycle protein 16 homolog ;Anaphase-promoting complex subunit 4 ;Anaphase-promoting complex subunit 7,Anapc1;Ccdc27;Cdc23;Anapc5;Anapc2;Anapc10;Cdc16;Anapc4;Anapc7,The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.,Mcpr Tsg24;Gm1035;Anapc8;;;Apc10;Anapc6;D5Ertd249e;Apc7
98,p300-MDM2-p53 protein complex,Human,P04637;Q00987;Q09472,7157;4193;2033,Cellular tumor antigen p53 ;E3 ubiquitin-protein ligase Mdm2 ;Histone acetyltransferase p300,TP53;MDM2;EP300,None,P53;;P300
100,hNURF complex,Human,P28370;Q09028;Q12830;Q16576,6594;5928;2186;5931,Probable global transcription activator SNF2L1 ;Histone-binding protein RBBP4 ;Nucleosome-remodeling factor subunit BPTF ;Histone-binding protein RBBP7,SMARCA1;RBBP4;BPTF;RBBP7,NURF is a member of the ISWI-containing chromatin remodeling complexes.,SNF2L SNF2L1;RBAP48;FAC1 FALZ;RBAP46
101,Nucleolar remodeling complex (NoRC complex),Mouse,Q91YE5;Q91ZW3,116848;93762,Bromodomain adjacent to zinc finger domain protein 2A ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,Baz2a;Smarca5,NoRC induces nucleosome sliding in an ATP- and histone H4 tail-dependent fashion. This complex may serve a role in the regulation of the rDNA locus.,Kiaa0314 Tip5;Snf2h
102,Meiotic cohesin complex,Mouse,P70281;Q8C5S7;Q920F6;Q9CW03,20962;56739;140557;13006,Synaptonemal complex protein 3 ;Meiotic recombination protein REC8 homolog ;Structural maintenance of chromosomes protein 1B ;Structural maintenance of chromosomes protein 3,Sycp3;Rec8;Smc1b;Smc3,None,Scp3;Mei8 Rec8L1;Smc1l2;Bam Bmh Cspg6 Mmip1 Smc3l1 Smcd
103,RNA polymerase II holoenzyme complex,Human,O15514;P13984;P18074;P19387;P19388;P19447;P20226;P24928;P29083;P29084;P30876;P32780;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q13888;Q13889;Q92759,5433;2963;2068;5432;5434;2071;6908;5430;2960;2961;5431;2965;2962;5438;5437;5439;5440;5435;5436;5441;2959;2966;2967;2968,"DNA-directed RNA polymerase II subunit RPB4 ;General transcription factor IIF subunit 2 ;TFIIH basal transcription factor complex helicase XPD subunit ;DNA-directed RNA polymerase II subunit RPB3 ;DNA-directed RNA polymerases I, II, and III subunit RPABC1 ;TFIIH basal transcription factor complex helicase XPB subunit ;TATA-box-binding protein ;DNA-directed RNA polymerase II subunit RPB1 ;General transcription factor IIE subunit 1 ;Transcription initiation factor IIE subunit beta ;DNA-directed RNA polymerase II subunit RPB2 ;General transcription factor IIH subunit 1 ;General transcription factor IIF subunit 1 ;DNA-directed RNA polymerase II subunit RPB9 ;DNA-directed RNA polymerases I, II, and III subunit RPABC3 ;DNA-directed RNA polymerase II subunit RPB11-a ;DNA-directed RNA polymerases I, II, and III subunit RPABC4 ;DNA-directed RNA polymerases I, II, and III subunit RPABC2 ;DNA-directed RNA polymerase II subunit RPB7 ;DNA-directed RNA polymerases I, II, and III subunit RPABC5 ;Transcription initiation factor IIB ;General transcription factor IIH subunit 2 ;General transcription factor IIH subunit 3 ;General transcription factor IIH subunit 4",POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;GTF2H2;GTF2H3;GTF2H4,None,;RAP30;XPD XPDC;;;XPB XPBC;GTF2D1 TF2D TFIID;POLR2;TF2E1;TF2E2;;BTF2;RAP74;;;POLR2J1;;POLRF;RPB7;;TF2B TFIIB;BTF2P44;;
104,RNA polymerase II core complex,Human,O15514;P19387;P19388;P24928;P30876;P36954;P52434;P52435;P53803;P61218;P62487;P62875,5433;5432;5434;5430;5431;5438;5437;5439;5440;5435;5436;5441,"DNA-directed RNA polymerase II subunit RPB4 ;DNA-directed RNA polymerase II subunit RPB3 ;DNA-directed RNA polymerases I, II, and III subunit RPABC1 ;DNA-directed RNA polymerase II subunit RPB1 ;DNA-directed RNA polymerase II subunit RPB2 ;DNA-directed RNA polymerase II subunit RPB9 ;DNA-directed RNA polymerases I, II, and III subunit RPABC3 ;DNA-directed RNA polymerase II subunit RPB11-a ;DNA-directed RNA polymerases I, II, and III subunit RPABC4 ;DNA-directed RNA polymerases I, II, and III subunit RPABC2 ;DNA-directed RNA polymerase II subunit RPB7 ;DNA-directed RNA polymerases I, II, and III subunit RPABC5",POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L,None,;;;POLR2;;;;POLR2J1;;POLRF;RPB7;
106,Srf-myogenin-E12 complex,Mouse,P12979;P15806;Q9JM73,17928;21423;20807,Myogenin ;Transcription factor E2-alpha ;Serum response factor,Myog;Tcf3;Srf,The formation of this complex could be one of the means by which SRF activity is deviated from proliferative to differentiating genes upon muscle cell terminal differentiation.,;Alf2 Me2 Tcfe2a;
109,"Fertilin complex (Adam1b, Adam2)",Mouse,Q60718;Q8R534,11495;280667,Disintegrin and metalloproteinase domain-containing protein 2 ;Disintegrin and metalloproteinase domain-containing protein 1b,Adam2;Adam1b,The formation of the heterodimeric protein complex between the ADAM1b and ADAM2 precursors in TGC may be essential for the localization of the mature forms of these two ADAMs on the sperm surface.,Ftnb;
112,Prefoldin complex,Human,O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9,10471;5201;7411;5204;5203;5202,Prefoldin subunit 6 ;Prefoldin subunit 1;Prefoldin subunit 3 ;Prefoldin subunit 5 ;Prefoldin subunit 4 ;Prefoldin subunit 2,PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2,None,HKE2 PFD6;PFD1;PFDN3;MM1 PFD5;PFD4;PFD2
114,SNAPc (small nuclear RNA-activating protein) complex,Human,O75971;Q13487;Q16533;Q5SXM2;Q92966,10302;6618;6617;6621;6619,snRNA-activating protein complex subunit 5 ;snRNA-activating protein complex subunit 2 ;snRNA-activating protein complex subunit 1 ;snRNA-activating protein complex subunit 4 ;snRNA-activating protein complex subunit 3,SNAPC5;SNAPC2;SNAPC1;SNAPC4;SNAPC3,Additional information about the constituents of the SNAPc complex is given in PMID:7715707 and PMID:9732265.,SNAP19;SNAP45;SNAP43;SNAP190;SNAP50
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Human,O00257;O60264;P08107;P25490;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52,8535;8467;None;7528;648;1911;6015;84733;1912;80012;22955;6045;57332,E3 SUMO-protein ligase CBX4 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ;Heat shock 70 kDa protein 1;Transcriptional repressor protein YY1 ;Polycomb complex protein BMI-1 ;Polyhomeotic-like protein 1 ;E3 ubiquitin-protein ligase RING1 ;Chromobox protein homolog 2;Polyhomeotic-like protein 2 ;Polyhomeotic-like protein 3 ;Polycomb protein SCMH1 ;E3 ubiquitin-protein ligase RING2 ;Chromobox protein homolog 8,CBX4;SMARCA5;HSPA1A;YY1;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8,"Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the Hi-Trap S eluate. The identified beta-tubulin may be a contaminant, it needs more characterization.",";SNF2H WCRF135;HSPA1, HSPA1B;INO80S;PCGF4 RNF51;EDR1 PH1;RNF1;;EDR2 PH2;EDR3 PH3;;BAP1 DING HIPI3 RING1B;PC3 RC1"
117,GPR56-CD81-Galphaq/11-Gbeta complex,Human,P16520;P29992;P50148;P60033;P62873;P62879;Q9HAV0;Q9Y653,2784;2767;2776;975;2782;2783;59345;9289,Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit alpha-11 ;Guanine nucleotide-binding protein G;CD81 antigen ;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit beta-4 ;Adhesion G-protein coupled receptor G1,GNB3;GNA11;GNAQ;CD81;GNB1;GNB2;GNB4;ADGRG1,The central role of CD81 (and CD9 when present) suggests possible scaffolding functions for CD81 and CD9 in GPR56 signaling.,;GA11;GAQ;TAPA1 TSPAN28;;;;GPR56 TM7LN4 TM7XN1
118,GPI-GnT activity complex,Human,P37287;Q14442;Q92535;Q9BRB3,5277;5283;5279;9091,Phosphatidylinositol N-acetylglucosaminyltransferase subunit A ;Phosphatidylinositol N-acetylglucosaminyltransferase subunit H ;Phosphatidylinositol N-acetylglucosaminyltransferase subunit C ;Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q,PIGA;PIGH;PIGC;PIGQ,This protein complex has GPI-GlcNAc transferase (GPI-GnT) activity in vitro.,;;GPI2;GPI1
120,Lymphotoxin beta receptor complex,Human,P01374;P36941;Q06643,4049;4055;4050,Lymphotoxin-alpha ;Tumor necrosis factor receptor superfamily member 3 ;Lymphotoxin-beta,LTA;LTBR;LTB,"The binding of heterotrimeric lymphotoxin, LT alpha1 beta2, to the LTbeta receptor (LTbeta R), a member of the tumor necrosis factor receptor (TNFR) superfamily, induces nuclear factor kappaB (NF-kappaB) activation and cell death in HT29 adenocarcinoma cells.",TNFB TNFSF1;D12S370 TNFCR TNFR3 TNFRSF3;TNFC TNFSF3
123,Rnase/Mrp complex,Human,O75817;O75818;O95059;O95707;P78345;P78346;Q969H6;Q99575;Q9BUL9;Q9H633,10248;10799;11102;10775;10557;10556;51367;10940;54913;79897,Ribonuclease P protein subunit p20 ;Ribonuclease P protein subunit p40 ;Ribonuclease P protein subunit p14 ;Ribonuclease P protein subunit p29 ;Ribonuclease P protein subunit p38 ;Ribonuclease P protein subunit p30 ;Ribonuclease P/MRP protein subunit POP5 ;Ribonucleases P/MRP protein subunit POP1 ;Ribonuclease P protein subunit p25 ;Ribonuclease P protein subunit p21,POP7;RPP40;RPP14;POP4;RPP38;RPP30;POP5;POP1;RPP25;RPP21,RNase MRP is involved in the processing of pre-rRNA and the generation of RNA primers for mitochondrial DNA replication.,RPP20;RNASEP1;;RPP29;;RNASEP2;;KIAA0061;;C6orf135 CAT60
124,RGS9-GNB5-GNAT1-R9AP complex,Bovine,O46469;P04695;Q8MJG0,281453;281794;282338,Regulator of G-protein signaling 9 ;Guanine nucleotide-binding protein G;Regulator of G-protein signaling 9-binding protein,RGS9;GNAT1;RGS9BP,None,;;R9AP
127,NDC80 kinetochore complex,Human,O14777;Q8NBT2;Q9BZD4;Q9HBM1,10403;147841;83540;57405,Kinetochore protein NDC80 homolog ;Kinetochore protein Spc24 ;Kinetochore protein Nuf2 ;Kinetochore protein Spc25,NDC80;SPC24;NUF2;SPC25,"Components of the conserved NDC80 complex are required for chromosome congression, and their disruption results in mitotic arrest accompanied by multiple spindle aberrations. hSPC25 is an essential kinetochore component that plays a significant role in proper execution of mitotic events.",HEC HEC1 KNTC2;SPBC24;CDCA1 NUF2R;SPBC25
129,PIDDsome complex,Human,P42575;P78560;Q9HB75,835;8738;55367,Caspase-2 ;Death domain-containing protein CRADD ;p53-induced death domain-containing protein 1,CASP2;CRADD;PIDD1,None,ICH1 NEDD2;RAIDD;LRDD PIDD
136,Troponin complex,Rabbit,P02586;P02641;P02643,100009341;None;100009581,"Troponin C, skeletal muscle;Troponin T, fast skeletal muscle ;Troponin I, fast skeletal muscle",TNNC2;TNNT3;TNNI2,None,;;
138,Telosome complex,Human,P54274;Q15554;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0,7013;7014;65057;26277;25913;54386,Telomeric repeat-binding factor 1 ;Telomeric repeat-binding factor 2 ;Adrenocortical dysplasia protein homolog ;TERF1-interacting nuclear factor 2 ;Protection of telomeres protein 1 ;Telomeric repeat-binding factor 2-interacting protein 1,TERF1;TERF2;ACD;TINF2;POT1;TERF2IP,"TIN2 binds TRF2 directly, thereby tethering TRF2 to the TRF1 complex. This complex is responsible for telomere maintenance.",PIN2 TRBF1 TRF TRF1;TRBF2 TRF2;PIP1 PTOP TINT1 TPP1;TIN2;;DRIP5 RAP1
139,SDH-mABC1-PIC-ANT-ATPase complex,Rat,P15999;P16036;P21913;Q05962;Q09073;Q5RKI8;Q920L2,65262;245959;298596;85333;25176;362302;157074,"ATP synthase subunit alpha, mitochondrial;Phosphate carrier protein, mitochondrial ;Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial ;ADP/ATP translocase 1 ;ADP/ATP translocase 2 ;ATP-binding cassette sub-family B member 8, mitochondrial;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Atp5a1;Slc25a3;Sdhb;Slc25a4;Slc25a5;Abcb8;Sdha,The complex constitutes the mitochondrial ATP-sensitive K(+) channel.,;Phc;Sdh1;Ant1;Ant2;;
140,E-box sequence-binding complex,Human,P25791;Q02577;Q86U70;Q9BXY8,4005;4808;8861;None,Rhombotin-2 ;Helix-loop-helix protein 2 ;LIM domain-binding protein 1 ;Protein BEX2,LMO2;NHLH2;LDB1;BEX2,This complex may help to understand the molecular mechanisms by which hBex2 plays a role in transcriptional regulation in the brain during neurodevelopment.,RBTN2 RBTNL1 RHOM2 TTG2;BHLHA34 HEN2 KIAA0490;CLIM2;
141,Sos1-Abi1-Eps8 complex,Mouse,Q08509;Q62245;Q8CBW3,13860;20662;11308,Epidermal growth factor receptor kinase substrate 8;Son of sevenless homolog 1 ;Abl interactor 1,Eps8;Sos1;Abi1,"The authors  propose a model in which Eps8 mediates the transfer of signals between Ras and Rac, by forming a complex with E3b1 and Sos1.",;;Ssh3bp1
142,"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)",Human,P35613;P49768;Q92542;Q96BI3;Q9NZ42,682;5663;23385;51107;55851,Basigin ;Presenilin-1 ;Nicastrin;Gamma-secretase subunit APH-1A ;Gamma-secretase subunit PEN-2,BSG;PSEN1;NCSTN;APH1A;PSENEN,CD147 in gamma-secretase complex down-modulates the production of amyloid beta-peptides.,;AD3 PS1 PSNL1;KIAA0253;PSF;PEN2
143,APP-FE65-LRP complex,Human,O00213;P05067;Q07954,322;351;4035,Amyloid beta A4 precursor protein-binding family B member 1 ;Amyloid beta A4 protein ;Prolow-density lipoprotein receptor-related protein 1,APBB1;APP;LRP1,None,FE65 RIR;A4 AD1;A2MR APR
144,Gamma-BAR-AP1 complex,Human,O43747;O75843;P56377;P61966;Q10567;Q63HQ0;Q96PC3;Q9BXS5;Q9Y6Q5,164;8906;8905;1174;162;55435;130340;8907;10053,AP-1 complex subunit gamma-1 ;AP-1 complex subunit gamma-like 2 ;AP-1 complex subunit sigma-2 ;AP-1 complex subunit sigma-1A ;AP-1 complex subunit beta-1 ;AP-1 complex-associated regulatory protein ;AP-1 complex subunit sigma-3 ;AP-1 complex subunit mu-1 ;AP-1 complex subunit mu-2,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2,The isolation of AP1 adaptor complex was described in PMID:9733768.,ADTG CLAPG1;;;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;C4orf16;;CLTNM;
145,CCT:PFD complex,Mammalia,O15212;O60925;P61758;Q2NKZ1;Q2T9X2;Q32L40;Q3MHL7;Q3T0K2;Q3T115;Q3ZBH0;Q3ZCI9;Q99471;Q9NQP4;Q9UHV9,10471;5201;7411;514355;613336;512043;521540;504735;533784;505313;281047;5204;5203;5202,"Prefoldin subunit 6 ;Prefoldin subunit 1;Prefoldin subunit 3 ;T-complex protein 1 subunit eta ;T-complex protein 1 subunit delta ;T-complex protein 1 subunit alpha ;T-complex protein 1 subunit zeta ;T-complex protein 1 subunit gamma ;Chaperonin containing TCP1, subunit 5 ;T-complex protein 1 subunit beta ;T-complex protein 1 subunit theta ;Prefoldin subunit 5 ;Prefoldin subunit 4 ;Prefoldin subunit 2",PFDN6;PFDN1;VBP1;CCT7;CCT4;TCP1;CCT6A;CCT3;CCT5;CCT2;CCT8;PFDN5;PFDN4;PFDN2,The biogenesis of the cytoskeletal proteins actin and tubulin involves interaction of nascent chains of each of the two proteins with the oligomeric protein prefoldin (PFD) and their subsequent transfer to the cytosolic chaperonin CCT (chaperonin containing TCP-1). Three-dimensional reconstruction of the CCT:PFD complex based on cryoelectron microscopy reveals that PFD binds to each of the two CCT rings.,HKE2 PFD6;PFD1;PFDN3;;;CCT1;;;;;;MM1 PFD5;PFD4;PFD2
146,Src-dynamin-synapsin complex,Mouse,O88935;P05480;P39053;P39054,20964;20779;13429;13430,Synapsin-1 ;Neuronal proto-oncogene tyrosine-protein kinase Src ;Dynamin-1 ;Dynamin-2,Syn1;Src;Dnm1;Dnm2,"The SH3 domain of Src, but not that of the splice variant N-Src, bound to three proteins from mouse synaptosomes or PC12 cells: dynamin, synapsin Ia, and synapsin Ib. Src may play a regulatory role in membrane traffic events that are particularly critical in the neuron.",Syn-1;;Dnm Kiaa4093;Dyn2
148,Src-dynamin-synapsin-alpha-adaptin complex,Rat,P09951;P18484;P21575;Q9WUD9,24949;81637;140694;83805,Synapsin-1 ;AP-2 complex subunit alpha-2 ;Dynamin-1 ;Proto-oncogene tyrosine-protein kinase Src,Syn1;Ap2a2;Dnm1;Src,"The identification of a complex containing Src, dynamin, and alpha-adaptin indicates that Src may play a more general role in membrane traffic as well.",;Adtab;Dnm;
